,2_Floor_Haus_BuildingArabic05.rdf,2_Floor_Haus_BuildingArabic06.rdf,2_Floor_Haus_Peri.rdf,2_Floor_RevitDemo_StructuralPlan_Building08.rdf,2_Floor_SlopedRoof_Revit-2026.rdf,7_Floor_Individualized Columns_Building04.rdf,8_Floor_Pattern Freeform Columns_Building03.rdf,Building_05_DG.rdf,Building_06_DG.rdf,DFAB_Analog_Building07.rdf
2_Floor_Haus_BuildingArabic05.rdf,1.0,0.9977743671304798,0.9832265861525769,0.870248606744012,0.9741313292804699,0.6857208312010549,0.9941585842923293,1.0,0.9977743671304798,0.9478426532633049
2_Floor_Haus_BuildingArabic06.rdf,0.9977743671304798,1.0,0.9931791020926852,0.8927965329169822,0.986227917013812,0.7286467921865941,0.9847767146456237,0.9977743671304798,1.0,0.9668047238605717
2_Floor_Haus_Peri.rdf,0.9832265861525769,0.9931791020926852,1.0,0.9237663092787731,0.996942503909522,0.7987241815019812,0.9580082653594711,0.9832265861525769,0.9931791020926852,0.9899264863954723
2_Floor_RevitDemo_StructuralPlan_Building08.rdf,0.870248606744012,0.8927965329169822,0.9237663092787731,1.0,0.937576946233124,0.8758850739907268,0.8267950635352375,0.870248606744012,0.8927965329169822,0.9457895411644942
2_Floor_SlopedRoof_Revit-2026.rdf,0.9741313292804699,0.986227917013812,0.996942503909522,0.937576946233124,1.0,0.8160686456915206,0.9456175018458726,0.9741313292804699,0.986227917013812,0.9917052903219274
7_Floor_Individualized Columns_Building04.rdf,0.6857208312010549,0.7286467921865941,0.7987241815019812,0.8758850739907268,0.8160686456915206,1.0,0.6127975164154777,0.6857208312010549,0.7286467921865941,0.8727843223101757
8_Floor_Pattern Freeform Columns_Building03.rdf,0.9941585842923293,0.9847767146456237,0.9580082653594711,0.8267950635352375,0.9456175018458726,0.6127975164154777,1.0,0.9941585842923293,0.9847767146456237,0.9087228314020104
Building_05_DG.rdf,1.0,0.9977743671304798,0.9832265861525769,0.870248606744012,0.9741313292804699,0.6857208312010549,0.9941585842923293,1.0,0.9977743671304798,0.9478426532633049
Building_06_DG.rdf,0.9977743671304798,1.0,0.9931791020926852,0.8927965329169822,0.986227917013812,0.7286467921865941,0.9847767146456237,0.9977743671304798,1.0,0.9668047238605717
DFAB_Analog_Building07.rdf,0.9478426532633049,0.9668047238605717,0.9899264863954723,0.9457895411644942,0.9917052903219274,0.8727843223101757,0.9087228314020104,0.9478426532633049,0.9668047238605717,0.9999999999999999
